symbol,industry,name
AJANTPHARM,Healthcare,Ajanta Pharmaceuticals Ltd.
AKUMS,Healthcare,Akums Drugs and Pharmaceuticals Ltd.
ALIVUS,Healthcare,Alivus Life Sciences Ltd.
ALKEM,Healthcare,Alkem Laboratories Ltd.
ALKYLAMINE,Chemicals,Alkyl Amines Chemicals Ltd.
ALOKINDS,Textiles,Alok Industries Ltd.
AMBER,Consumer Durables,Amber Enterprises India Ltd.
AMBUJACEM,Construction Materials,Ambuja Cements Ltd.
ANANDRATHI,Financial Services,Anand Rathi Wealth Ltd.
ANANTRAJ,Realty,Anant Raj Ltd.
ANGELONE,Financial Services,Angel One Ltd.
ANTHEM,Healthcare,Anthem Biosciences Ltd.
ANUP,Capital Goods,The Anup Engineering Ltd.
ANURAS,Chemicals,Anupam Rasayan India Ltd.
APARINDS,Capital Goods,Apar Industries Ltd.
APLAPOLLO,Capital Goods,APL Apollo Tubes Ltd.
APLLTD,Healthcare,Alembic Pharmaceuticals Ltd.
APOLLO,Capital Goods,Apollo Micro Systems Ltd.
APOLLOHOSP,Healthcare,Apollo Hospitals Enterprise Ltd.
APOLLOTYRE,Automobile and Auto Components,Apollo Tyres Ltd.
APTUS,Financial Services,Aptus Value Housing Finance India Ltd.
ARE&M,Automobile and Auto Components,Amara Raja Energy & Mobility Ltd.
ARVIND,Textiles,Arvind Ltd.
ARVINDFASN,Consumer Services,Arvind Fashions Ltd.
ASAHIINDIA,Automobile and Auto Components,Asahi India Glass Ltd.
ASHAPURMIN,Metals & Mining,Ashapura Minechem Ltd.
ASHOKA,Construction,Ashoka Buildcon Ltd.
ASHOKLEY,Capital Goods,Ashok Leyland Ltd.
ASIANPAINT,Consumer Durables,Asian Paints Ltd.
ASKAUTOLTD,Automobile and Auto Components,ASK Automotive Ltd.
ASTERDM,Healthcare,Aster DM Quality Care Ltd.
ASTRAL,Capital Goods,Astral Ltd.
ASTRAMICRO,Capital Goods,Astra Microwave Products Ltd.
ATGL,Oil Gas & Consumable Fuels,Adani Total Gas Ltd.
ATHERENERG,Automobile and Auto Components,Ather Energy Ltd.
ATLANTAELE,Capital Goods,Atlanta Electricals Ltd.
ATUL,Chemicals,Atul Ltd.
AUBANK,Financial Services,AU Small Finance Bank Ltd.
AURIONPRO,Information Technology,Aurionpro Solution Ltd.
AUROPHARMA,Healthcare,Aurobindo Pharma Ltd.
AVALON,Capital Goods,Avalon Technologies Ltd.
AVANTIFEED,Fast Moving Consumer Goods,Avanti Feeds Ltd.
AVL,Consumer Services,Aditya Vision Ltd.
AWFIS,Services,Awfis Space Solutions Ltd.
AWL,Fast Moving Consumer Goods,AWL Agri Business Ltd.
AXISBANK,Financial Services,Axis Bank Ltd.
AXISCADES,Capital Goods,AXISCADES Technologies Ltd.
AZAD,Capital Goods,Azad Engineering Ltd.
BAJAJ-AUTO,Automobile and Auto Components,Bajaj Auto Ltd.
BAJAJELEC,Consumer Durables,Bajaj Electricals Ltd
BAJAJFINSV,Financial Services,Bajaj Finserv Ltd.
BAJAJHFL,Financial Services,Bajaj Housing Finance Ltd.
BAJAJHLDNG,Financial Services,Bajaj Holdings & Investment Ltd.
BAJFINANCE,Financial Services,Bajaj Finance Ltd.
BALAMINES,Chemicals,Balaji Amines Ltd.
BALKRISIND,Automobile and Auto Components,Balkrishna Industries Ltd.
BALRAMCHIN,Fast Moving Consumer Goods,Balrampur Chini Mills Ltd.
BALUFORGE,Capital Goods,Balu Forge Industries Ltd.
BANCOINDIA,Automobile and Auto Components,Banco Products (India) Ltd.
BANDHANBNK,Financial Services,Bandhan Bank Ltd.
BANKBARODA,Financial Services,Bank of Baroda
BANKINDIA,Financial Services,Bank of India
BATAINDIA,Consumer Durables,Bata India Ltd.
BAYERCROP,Chemicals,Bayer Cropscience Ltd.
BBOX,Information Technology,Black Box Ltd.
BBTC,Fast Moving Consumer Goods,Bombay Burmah Trading Corporation Ltd.
BDL,Capital Goods,Bharat Dynamics Ltd.
BECTORFOOD,Fast Moving Consumer Goods,Mrs. Bectors Food Specialities Ltd.
BEL,Capital Goods,Bharat Electronics Ltd.
BELRISE,Automobile and Auto Components,Belrise Industries Ltd.
BEML,Capital Goods,BEML Ltd.
BERGEPAINT,Consumer Durables,Berger Paints India Ltd.
BHARATFORG,Automobile and Auto Components,Bharat Forge Ltd.
BHARTIARTL,Telecommunication,Bharti Airtel Ltd.
BHARTIHEXA,Telecommunication,Bharti Hexacom Ltd.
BHEL,Capital Goods,Bharat Heavy Electricals Ltd.
BIKAJI,Fast Moving Consumer Goods,Bikaji Foods International Ltd.
BIOCON,Healthcare,Biocon Ltd.
BIRLACORPN,Construction Materials,Birla Corporation Ltd.
BLACKBUCK,Services,Blackbuck Ltd.
BLS,Consumer Services,BLS International Services Ltd.
BLUEDART,Services,Blue Dart Express Ltd.
BLUEJET,Healthcare,Blue Jet Healthcare Ltd.
BLUESTARCO,Consumer Durables,Blue Star Ltd.
BLUESTONE,Consumer Durables,BlueStone Jewellery and Lifestyle Ltd.
BORORENEW,Capital Goods,Borosil Renewables Ltd.
BOSCHLTD,Automobile and Auto Components,Bosch Ltd.
BPCL,Oil Gas & Consumable Fuels,Bharat Petroleum Corporation Ltd.
BRIGADE,Realty,Brigade Enterprises Ltd.
BRITANNIA,Fast Moving Consumer Goods,Britannia Industries Ltd.
BSE,Financial Services,BSE Ltd.
BSOFT,Information Technology,Birlasoft Ltd.
CAMPUS,Consumer Durables,Campus Activewear Ltd.
CAMS,Financial Services,Computer Age Management Services Ltd.
CANBK,Financial Services,Canara Bank
CANFINHOME,Financial Services,Can Fin Homes Ltd.
CANHLIFE,Financial Services,Canara HSBC Life Insurance Company Ltd.
CAPILLARY,Information Technology,Capillary Technologies India Ltd.
CAPLIPOINT,Healthcare,Caplin Point Laboratories Ltd.
CARBORUNIV,Capital Goods,Carborundum Universal Ltd.
CARTRADE,Consumer Services,Cartrade Tech Ltd.
CASTROLIND,Oil Gas & Consumable Fuels,Castrol India Ltd.
CCAVENUE,Financial Services,AvenuesAI Ltd.
CCL,Fast Moving Consumer Goods,CCL Products (I) Ltd.
CDSL,Financial Services,Central Depository Services (India) Ltd.
CEATLTD,Automobile and Auto Components,Ceat Ltd.
CELLO,Consumer Durables,Cello World Ltd.
CEMPRO,Construction,Cemindia Projects Ltd.
CENTRALBK,Financial Services,Central Bank of India
CENTURYPLY,Consumer Durables,Century Plyboards (India) Ltd.
CERA,Consumer Durables,Cera Sanitaryware Ltd
CESC,Power,CESC Ltd.
CGCL,Financial Services,Capri Global Capital Ltd.
CGPOWER,Capital Goods,CG Power and Industrial Solutions Ltd.
CHALET,Consumer Services,Chalet Hotels Ltd.
CHAMBLFERT,Chemicals,Chambal Fertilizers & Chemicals Ltd.
CHENNPETRO,Oil Gas & Consumable Fuels,Chennai Petroleum Corporation Ltd.
CHOICEIN,Financial Services,Choice International Ltd.
CHOLAFIN,Financial Services,Cholamandalam Investment and Finance Company Ltd.
CHOLAHLDNG,Financial Services,Cholamandalam Financial Holdings Ltd.
CIEINDIA,Automobile and Auto Components,CIE Automotive India Ltd.
CIPLA,Healthcare,Cipla Ltd.
CLEAN,Chemicals,Clean Science and Technology Ltd.
CMSINFO,Services,CMS Info Systems Ltd.
COALINDIA,Oil Gas & Consumable Fuels,Coal India Ltd.
COCHINSHIP,Capital Goods,Cochin Shipyard Ltd.
COFORGE,Information Technology,Coforge Ltd.
COHANCE,Healthcare,Cohance Lifesciences Ltd.
COLPAL,Fast Moving Consumer Goods,Colgate Palmolive (India) Ltd.
CONCOR,Services,Container Corporation of India Ltd.
CONCORDBIO,Healthcare,Concord Biotech Ltd.
COROMANDEL,Chemicals,Coromandel International Ltd.
CORONA,Healthcare,CORONA Remedies Ltd.
CPPLUS,Capital Goods,Aditya Infotech Ltd.
CRAFTSMAN,Automobile and Auto Components,Craftsman Automation Ltd.
CRAMC,Financial Services,Canara Robeco Asset Management Company Ltd.
CREDITACC,Financial Services,CreditAccess Grameen Ltd.
CRISIL,Financial Services,CRISIL Ltd.
CRIZAC,Consumer Services,Crizac Ltd.
CROMPTON,Consumer Durables,Crompton Greaves Consumer Electricals Ltd.
CSBBANK,Financial Services,CSB Bank Ltd.
CUB,Financial Services,City Union Bank Ltd.
CUMMINSIND,Capital Goods,Cummins India Ltd.
CUPID,Fast Moving Consumer Goods,Cupid Ltd.
CYIENT,Information Technology,Cyient Ltd.
DABUR,Fast Moving Consumer Goods,Dabur India Ltd.
DALBHARAT,Construction Materials,Dalmia Bharat Ltd.
DATAMATICS,Information Technology,Datamatics Global Services Ltd.
DATAPATTNS,Capital Goods,Data Patterns (India) Ltd.
DBL,Construction,Dilip Buildcon Ltd.
DBREALTY,Realty,VALOR ESTATE Ltd.
DCBBANK,Financial Services,DCB Bank Ltd.
DCMSHRIRAM,Diversified,DCM Shriram Ltd.
DEEPAKFERT,Chemicals,Deepak Fertilisers & Petrochemicals Corp. Ltd.
DEEPAKNTR,Chemicals,Deepak Nitrite Ltd.
DELHIVERY,Services,Delhivery Ltd.
DEVYANI,Consumer Services,Devyani International Ltd.
DIACABS,Capital Goods,Diamond Power Infrastructure Ltd.
DIVISLAB,Healthcare,Divi's Laboratories Ltd.
DIXON,Consumer Durables,Dixon Technologies (India) Ltd.
DLF,Realty,DLF Ltd.
DMART,Consumer Services,Avenue Supermarts Ltd.
DOMS,Fast Moving Consumer Goods,DOMS Industries Ltd.
DRREDDY,Healthcare,Dr. Reddy's Laboratories Ltd.
DUMMYHEG,Metals & Mining,Dummy HEG Ltd.
DUMMYINGL1,Healthcare,Dummy India Glycols ltd. 1
DUMMYINGL2,Fast Moving Consumer Goods,Dummy India Glycols ltd. 2
DUMMYINXGN,Construction,Dummy Inox Green Ltd.
DUMMYTRVN,Capital Goods,Dummy Triveni Ltd.
DYNAMATECH,Capital Goods,Dynamatic Technologies Ltd.
ECLERX,Services,eClerx Services Ltd.
EDELWEISS,Financial Services,Edelweiss Financial Services Ltd.
EICHERMOT,Automobile and Auto Components,Eicher Motors Ltd.
EIDPARRY,Fast Moving Consumer Goods,E.I.D. Parry (India) Ltd.
EIEL,Utilities,Enviro Infra Engineers Ltd.
EIHOTEL,Consumer Services,EIH Ltd.
ELECON,Capital Goods,Elecon Engineering Co. Ltd.
ELECTCAST,Capital Goods,Electrosteel Castings Ltd.
ELGIEQUIP,Capital Goods,Elgi Equipments Ltd.
ELLEN,Chemicals,Ellenbarrie Industrial Gases Ltd.
EMAMILTD,Fast Moving Consumer Goods,Emami Ltd.
EMBDL,Realty,Embassy Developments Ltd.
EMCURE,Healthcare,Emcure Pharmaceuticals Ltd.
EMIL,Consumer Services,Electronics Mart India Ltd.
EMMVEE,Capital Goods,Emmvee Photovoltaic Power Ltd.
ENDURANCE,Automobile and Auto Components,Endurance Technologies Ltd.
ENGINERSIN,Construction,Engineers India Ltd.
ENRIN,Capital Goods,Siemens Energy India Ltd.
ENTERO,Consumer Services,Entero Healthcare Solutions Ltd.
EPL,Capital Goods,EPL Ltd.
EQUITASBNK,Financial Services,Equitas Small Finance Bank Ltd.
ERIS,Healthcare,Eris Lifesciences Ltd.
ESCORTS,Capital Goods,Escorts Kubota Ltd.
ETERNAL,Consumer Services,Eternal Ltd.
ETHOSLTD,Consumer Durables,Ethos Ltd.
EUREKAFORB,Consumer Durables,Eureka Forbes Ltd.
EXIDEIND,Automobile and Auto Components,Exide Industries Ltd.
FACT,Chemicals,Fertilisers and Chemicals Travancore Ltd.
FEDERALBNK,Financial Services,Federal Bank Ltd.
FEDFINA,Financial Services,Fedbank Financial Services Ltd.
FIEMIND,Automobile and Auto Components,Fiem Industries Ltd
FINCABLES,Capital Goods,Finolex Cables Ltd.
FINPIPE,Capital Goods,Finolex Industries Ltd.
FIRSTCRY,Consumer Services,Brainbees Solutions Ltd.
FIVESTAR,Financial Services,Five-Star Business Finance Ltd.
FLUOROCHEM,Chemicals,Gujarat Fluorochemicals Ltd.
FORCEMOT,Automobile and Auto Components,Force Motors Ltd.
FORTIS,Healthcare,Fortis Healthcare Ltd.
FSL,Services,Firstsource Solutions Ltd.
GABRIEL,Automobile and Auto Components,Gabriel India Ltd.
GAEL,Fast Moving Consumer Goods,Gujarat Ambuja Exports Ltd.
GAIL,Oil Gas & Consumable Fuels,GAIL (India) Ltd.
GALLANTT,Capital Goods,Gallantt Ispat Ltd.
GESHIP,Services,Great Eastern Shipping Co. Ltd.
GHCL,Chemicals,GHCL Ltd.
GICRE,Financial Services,General Insurance Corporation of India
GILLETTE,Fast Moving Consumer Goods,Gillette India Ltd.
GLAND,Healthcare,Gland Pharma Ltd.
GLAXO,Healthcare,Glaxosmithkline Pharmaceuticals Ltd.
GLENMARK,Healthcare,Glenmark Pharmaceuticals Ltd.
GMDCLTD,Metals & Mining,Gujarat Mineral Development Corporation Ltd.
GMMPFAUDLR,Capital Goods,GMM Pfaudler Ltd.
GMRAIRPORT,Services,GMR Airports Ltd.
GMRP&UI,Power,GMR Power and Urban Infra Ltd.
GNFC,Chemicals,Gujarat Narmada Valley Fertilizers and Chemicals Ltd.
GODFRYPHLP,Fast Moving Consumer Goods,Godfrey Phillips India Ltd.
GODIGIT,Financial Services,Go Digit General Insurance Ltd.
GODREJAGRO,Fast Moving Consumer Goods,Godrej Agrovet Ltd.
GODREJCP,Fast Moving Consumer Goods,Godrej Consumer Products Ltd.
GODREJIND,Diversified,Godrej Industries Ltd.
GODREJPROP,Realty,Godrej Properties Ltd.
GOKEX,Textiles,Gokaldas Exports Ltd.
GOKULAGRO,Fast Moving Consumer Goods,Gokul Agro Resources Ltd.
GPIL,Capital Goods,Godawari Power & Ispat Ltd.
GPPL,Services,Gujarat Pipavav Port Ltd.
GRANULES,Healthcare,Granules India Ltd.
GRAPHITE,Capital Goods,Graphite India Ltd.
GRASIM,Construction Materials,Grasim Industries Ltd.
GRAVITA,Metals & Mining,Gravita India Ltd.
GREAVESCOT,Capital Goods,Greaves Cotton Ltd.
GRINDWELL,Capital Goods,Grindwell Norton Ltd.
GROWW,Financial Services,Billionbrains Garage Ventures Ltd.
GRSE,Capital Goods,Garden Reach Shipbuilders & Engineers Ltd.
GRWRHITECH,Capital Goods,Garware Hi-Tech Films Ltd.
GSFC,Chemicals,Gujarat State Fertilizers & Chemicals Ltd.
GVT&D,Capital Goods,GE Vernova T&D India Ltd.
HAL,Capital Goods,Hindustan Aeronautics Ltd.
HAPPSTMNDS,Information Technology,Happiest Minds Technologies Ltd.
HAVELLS,Consumer Durables,Havells India Ltd.
HBLENGINE,Capital Goods,HBL Engineering Ltd.
HCC,Construction,Hindustan Construction Co. Ltd.
HCG,Healthcare,Healthcare Global Enterprises Ltd.
HCLTECH,Information Technology,HCL Technologies Ltd.
HDBFS,Financial Services,HDB Financial Services Ltd.
HDFCAMC,Financial Services,HDFC Asset Management Company Ltd.
HDFCBANK,Financial Services,HDFC Bank Ltd.
HDFCLIFE,Financial Services,HDFC Life Insurance Company Ltd.
HEG,Capital Goods,HEG Ltd.
HEMIPROP,Services,Hemisphere Properties India Ltd.
HERITGFOOD,Fast Moving Consumer Goods,Heritage Foods Ltd.
HEROMOTOCO,Automobile and Auto Components,Hero MotoCorp Ltd.
HEXT,Information Technology,Hexaware Technologies Ltd.
HFCL,Telecommunication,HFCL Ltd.
HGINFRA,Construction,H.G. Infra Engineering Ltd.
HINDALCO,Metals & Mining,Hindalco Industries Ltd.
HINDCOPPER,Metals & Mining,Hindustan Copper Ltd.
HINDPETRO,Oil Gas & Consumable Fuels,Hindustan Petroleum Corporation Ltd.
HINDUNILVR,Fast Moving Consumer Goods,Hindustan Unilever Ltd.
HINDZINC,Metals & Mining,Hindustan Zinc Ltd.
HOMEFIRST,Financial Services,Home First Finance Company India Ltd.
HONASA,Fast Moving Consumer Goods,Honasa Consumer Ltd.
HONAUT,Capital Goods,Honeywell Automation India Ltd.
HSCL,Chemicals,Himadri Speciality Chemical Ltd.
HUDCO,Financial Services,Housing & Urban Development Corporation Ltd.
HYUNDAI,Automobile and Auto Components,Hyundai Motor India Ltd.
ICICIAMC,Financial Services,ICICI Prudential Asset Management Company Ltd.
ICICIBANK,Financial Services,ICICI Bank Ltd.
ICICIGI,Financial Services,ICICI Lombard General Insurance Company Ltd.
ICICIPRULI,Financial Services,ICICI Prudential Life Insurance Company Ltd.
ICIL,Textiles,Indo Count Industries Ltd.
IDBI,Financial Services,IDBI Bank Ltd.
IDEA,Telecommunication,Vodafone Idea Ltd.
IDFCFIRSTB,Financial Services,IDFC First Bank Ltd.
IEX,Financial Services,Indian Energy Exchange Ltd.
IFBIND,Consumer Durables,IFB Industries Ltd.
IFCI,Financial Services,IFCI Ltd.
IGIL,Services,International Gemological Institute Ltd.
IGL,Oil Gas & Consumable Fuels,Indraprastha Gas Ltd.
IIFL,Financial Services,IIFL Finance Ltd.
IIFLCAPS,Financial Services,IIFL Capital Services Ltd.
IKS,Information Technology,Inventurus Knowledge Solutions Ltd.
IMFA,Metals & Mining,Indian Metals & Ferro Alloys Ltd.
INDGN,Healthcare,Indegene Ltd.
INDHOTEL,Consumer Services,Indian Hotels Co. Ltd.
INDIACEM,Construction Materials,India Cements Ltd.
INDIAGLYCO,Fast Moving Consumer Goods,India Glycols Ltd.
INDIAMART,Consumer Services,Indiamart Intermesh Ltd.
INDIANB,Financial Services,Indian Bank
INDIASHLTR,Financial Services,India Shelter Finance Corporation Ltd.
INDIGO,Services,InterGlobe Aviation Ltd.
INDIGOPNTS,Consumer Durables,Indigo Paints Ltd.
INDUSINDBK,Financial Services,IndusInd Bank Ltd.
INDUSTOWER,Telecommunication,Indus Towers Ltd.
INFY,Information Technology,Infosys Ltd.
INOXGREEN,Services,Inox Green Energy Services Ltd.
INOXINDIA,Capital Goods,INOX India Ltd.
INOXWIND,Capital Goods,Inox Wind Ltd.
INTELLECT,Information Technology,Intellect Design Arena Ltd.
IOB,Financial Services,Indian Overseas Bank
IOC,Oil Gas & Consumable Fuels,Indian Oil Corporation Ltd.
IONEXCHANG,Utilities,Ion Exchange (India) Ltd.
IPCALAB,Healthcare,Ipca Laboratories Ltd.
IRB,Construction,IRB Infrastructure Developers Ltd.
IRCON,Construction,IRCON International Ltd.
IRCTC,Consumer Services,Indian Railway Catering And Tourism Corporation Ltd.
IREDA,Financial Services,Indian Renewable Energy Development Agency Ltd.
IRFC,Financial Services,Indian Railway Finance Corporation Ltd.
ITC,Fast Moving Consumer Goods,ITC Ltd.
ITCHOTELS,Consumer Services,ITC Hotels Ltd.
ITI,Telecommunication,ITI Ltd.
IXIGO,Consumer Services,Le Travenues Technology Ltd.
J&KBANK,Financial Services,Jammu & Kashmir Bank Ltd.
JAIBALAJI,Metals & Mining,JAI BALAJI INDUSTRIES Ltd.
JAINREC,Metals & Mining,Jain Resource Recycling Ltd.
JAMNAAUTO,Automobile and Auto Components,Jamna Auto Industries Ltd.
JAYNECOIND,Capital Goods,Jayaswal Neco Industries Ltd.
JBMA,Automobile and Auto Components,JBM Auto Ltd.
JINDALSAW,Capital Goods,Jindal Saw Ltd.
JINDALSTEL,Metals & Mining,Jindal Steel Ltd.
JIOFIN,Financial Services,Jio Financial Services Ltd.
JKCEMENT,Construction Materials,J.K. Cement Ltd.
JKLAKSHMI,Construction Materials,JK Lakshmi Cement Ltd.
JKPAPER,Forest Materials,JK Paper Ltd.
JKTYRE,Automobile and Auto Components,JK Tyre & Industries Ltd.
JLHL,Healthcare,Jupiter Life Line Hospitals Ltd.
JMFINANCIL,Financial Services,JM Financial Ltd.
JPPOWER,Power,Jaiprakash Power Ventures Ltd.
JSFB,Financial Services,Jana Small Finance Bank Ltd.
JSL,Metals & Mining,Jindal Stainless Ltd.
JSLL,Consumer Services,Jeena Sikho Lifecare Ltd.
JSWCEMENT,Construction Materials,JSW Cement Ltd.
JSWDULUX,Consumer Durables,JSW Dulux Ltd.
JSWENERGY,Power,JSW Energy Ltd.
JSWINFRA,Services,JSW Infrastructure Ltd.
JSWSTEEL,Metals & Mining,JSW Steel Ltd.
JUBLFOOD,Consumer Services,Jubilant Foodworks Ltd.
JUBLINGREA,Chemicals,Jubilant Ingrevia Ltd.
JUBLPHARMA,Healthcare,Jubilant Pharmova Ltd.
JUSTDIAL,Consumer Services,Justdial Ltd.
JWL,Capital Goods,Jupiter Wagons Ltd.
JYOTHYLAB,Fast Moving Consumer Goods,Jyothy Labs Ltd.
JYOTICNC,Capital Goods,Jyoti CNC Automation Ltd.
KAJARIACER,Consumer Durables,Kajaria Ceramics Ltd.
KALYANKJIL,Consumer Durables,Kalyan Jewellers India Ltd.
KANSAINER,Consumer Durables,Kansai Nerolac Paints Ltd.
KARURVYSYA,Financial Services,Karur Vysya Bank Ltd.
KAYNES,Capital Goods,Kaynes Technology India Ltd.
KEC,Construction,Kec International Ltd.
KEI,Capital Goods,KEI Industries Ltd.
KFINTECH,Financial Services,Kfin Technologies Ltd.
KIMS,Healthcare,Krishna Institute of Medical Sciences Ltd.
KIRLOSBROS,Capital Goods,Kirloskar Brothers Ltd.
KIRLOSENG,Capital Goods,Kirloskar Oil Eng Ltd.
KIRLPNU,Capital Goods,Kirloskar Pneumatic Company Ltd.
KITEX,Textiles,Kitex Garments Ltd.
KNRCON,Construction,KNR Constructions Ltd.
KOTAKBANK,Financial Services,Kotak Mahindra Bank Ltd.
KPIGREEN,Power,KPI Green Energy Ltd.
KPIL,Construction,Kalpataru Projects International Ltd.
KPITTECH,Information Technology,KPIT Technologies Ltd.
KPRMILL,Textiles,K.P.R. Mill Ltd.
KRBL,Fast Moving Consumer Goods,KRBL Ltd.
KRN,Capital Goods,KRN HEAT EXCHANGER AND REFRIGERATION Ltd.
KSB,Capital Goods,KSB Ltd.
KSCL,Fast Moving Consumer Goods,Kaveri Seed Company Ltd.
KTKBANK,Financial Services,Karnataka Bank Ltd.
LALPATHLAB,Healthcare,Dr. Lal Path Labs Ltd.
LATENTVIEW,Information Technology,Latent View Analytics Ltd.
LAURUSLABS,Healthcare,Laurus Labs Ltd.
LEMONTREE,Consumer Services,Lemon Tree Hotels Ltd.
LENSKART,Consumer Services,Lenskart Solutions Ltd.
LGEINDIA,Consumer Durables,LG Electronics India Ltd.
LICHSGFIN,Financial Services,LIC Housing Finance Ltd.
LICI,Financial Services,Life Insurance Corporation of India
LINDEINDIA,Chemicals,Linde India Ltd.
LLOYDSENGG,Capital Goods,Lloyds Engineering Works Ltd.
LLOYDSENT,Metals & Mining,Lloyds Enterprises Ltd.
LLOYDSME,Metals & Mining,Lloyds Metals And Energy Ltd.
LODHA,Realty,Lodha Developers Ltd.
LOTUSDEV,Realty,SRI LOTUS DEVELOPERS AND REALTY Ltd.
LT,Construction,Larsen & Toubro Ltd.
LTF,Financial Services,L&T Finance Ltd.
LTFOODS,Fast Moving Consumer Goods,LT Foods Ltd.
LTM,Information Technology,LTM Ltd.
LTTS,Information Technology,L&T Technology Services Ltd.
LUMAXTECH,Automobile and Auto Components,Lumax Auto Technologies Ltd.
LUPIN,Healthcare,Lupin Ltd.
LXCHEM,Chemicals,Laxmi Organic Industries Ltd.
M&M,Automobile and Auto Components,Mahindra & Mahindra Ltd.
M&MFIN,Financial Services,Mahindra & Mahindra Financial Services Ltd.
MAHABANK,Financial Services,Bank of Maharashtra
MAHSCOOTER,Financial Services,Maharashtra Scooters Ltd.
MAHSEAMLES,Capital Goods,Maharashtra Seamless Ltd.
MANAPPURAM,Financial Services,Manappuram Finance Ltd.
MANKIND,Healthcare,Mankind Pharma Ltd.
MANORAMA,Fast Moving Consumer Goods,Manorama Industries Ltd.
MANYAVAR,Consumer Services,Vedant Fashions Ltd.
MAPMYINDIA,Information Technology,C.E. Info Systems Ltd.
MARICO,Fast Moving Consumer Goods,Marico Ltd.
MARKSANS,Healthcare,Marksans Pharma Ltd.
MARUTI,Automobile and Auto Components,Maruti Suzuki India Ltd.
MASTEK,Information Technology,Mastek Ltd.
MAXHEALTH,Healthcare,Max Healthcare Institute Ltd.
MAZDOCK,Capital Goods,Mazagoan Dock Shipbuilders Ltd.
MCX,Financial Services,Multi Commodity Exchange of India Ltd.
MEDANTA,Healthcare,Global Health Ltd.
MEDPLUS,Consumer Services,Medplus Health Services Ltd.
MEESHO,Consumer Services,Meesho Ltd.
METROPOLIS,Healthcare,Metropolis Healthcare Ltd.
MFSL,Financial Services,Max Financial Services Ltd.
MGL,Oil Gas & Consumable Fuels,Mahanagar Gas Ltd.
MIDHANI,Capital Goods,Mishra Dhatu Nigam Ltd.
MINDACORP,Automobile and Auto Components,Minda Corporation Ltd.
MMTC,Services,MMTC Ltd.
MOIL,Metals & Mining,MOIL Ltd.
MOTHERSON,Automobile and Auto Components,Samvardhana Motherson International Ltd.
MOTILALOFS,Financial Services,Motilal Oswal Financial Services Ltd.
MPHASIS,Information Technology,MphasiS Ltd.
MRF,Automobile and Auto Components,MRF Ltd.
MRPL,Oil Gas & Consumable Fuels,Mangalore Refinery & Petrochemicals Ltd.
MSTCLTD,Services,MSTC Ltd.
MSUMI,Automobile and Auto Components,Motherson Sumi Wiring India Ltd.
MTARTECH,Capital Goods,MTAR Technologies Ltd.
MUTHOOTFIN,Financial Services,Muthoot Finance Ltd.
NAM-INDIA,Financial Services,Nippon Life India Asset Management Ltd.
NATCOPHARM,Healthcare,NATCO Pharma Ltd.
NATIONALUM,Metals & Mining,National Aluminium Co. Ltd.
NAUKRI,Consumer Services,Info Edge (India) Ltd.
NAVA,Power,Nava Ltd.
NAVINFLUOR,Chemicals,Navin Fluorine International Ltd.
NAZARA,Media Entertainment & Publication,Nazara Technologies Ltd.
NBCC,Construction,NBCC (India) Ltd.
NCC,Construction,NCC Ltd.
